,name,symbol,price,marcaps,crypto_1h,crypto_24h,crypto_7d,vol_24_d,vol_24_s,circ_supply,image,link
48,Theta Network,THETA,$1.11,"$1,109,351,186",0.57%,0.37%,8.18%,"$29,824,379","26,847,825 THETA","1,000,000,000 THETA",https://s2.coinmarketcap.com/static/img/coins/64x64/2416.png,https://coinmarketcap.com/currencies/theta-network/
49,BitDAO,BIT,$0.5288,"$1,105,720,826",0.12%,0.85%,1.04%,"$4,385,948","8,298,089 BIT","2,090,946,169 BIT",https://s2.coinmarketcap.com/static/img/coins/64x64/11221.png,https://coinmarketcap.com/currencies/bitdao/
50,MultiversX,EGLD,$42.29,"$1,064,806,890",0.18%,3.82%,1.84%,"$20,307,823","480,241 EGLD","25,229,282 EGLD",https://s2.coinmarketcap.com/static/img/coins/64x64/6892.png,https://coinmarketcap.com/currencies/multiversx-egld/
51,Tezos,XTZ,$1.14,"$1,063,777,453",0.19%,1.51%,0.96%,"$24,733,169","21,704,060 XTZ","933,127,851 XTZ",https://s2.coinmarketcap.com/static/img/coins/64x64/2011.png,https://coinmarketcap.com/currencies/tezos/
52,Flow,FLOW,$1.00,"$1,037,967,900",0.32%,2.50%,2.65%,"$26,766,036","26,708,384 FLOW","1,036,200,000 FLOW",https://s2.coinmarketcap.com/static/img/coins/64x64/4558.png,https://coinmarketcap.com/currencies/flow/
53,Axie Infinity,AXS,$8.63,"$1,001,587,330",0.53%,3.23%,1.04%,"$44,651,572","5,172,067 AXS","115,949,113 AXS",https://s2.coinmarketcap.com/static/img/coins/64x64/6783.png,https://coinmarketcap.com/currencies/axie-infinity/
54,The Sandbox,SAND,$0.6461,"$968,875,608",0.31%,3.48%,0.87%,"$117,051,529","181,176,995 SAND","1,499,470,108 SAND",https://s2.coinmarketcap.com/static/img/coins/64x64/6210.png,https://coinmarketcap.com/currencies/the-sandbox/
55,Immutable,IMX,$1.11,"$963,028,730",0.61%,6.04%,5.45%,"$40,460,219","36,493,377 IMX","868,583,515 IMX",https://s2.coinmarketcap.com/static/img/coins/64x64/10603.png,https://coinmarketcap.com/currencies/immutable-x/
56,Rocket Pool,RPL,$48.15,"$927,110,943",0.32%,9.96%,4.29%,"$15,718,518","325,539 RPL","19,257,026 RPL",https://s2.coinmarketcap.com/static/img/coins/64x64/2943.png,https://coinmarketcap.com/currencies/rocket-pool/
57,Pax Dollar,USDP,$0.9998,"$877,219,870",0.08%,0.11%,0.13%,"$25,930,359","25,932,477 USDP","878,084,065 USDP",https://s2.coinmarketcap.com/static/img/coins/64x64/3330.png,https://coinmarketcap.com/currencies/paxos-standard/
